YR,M,D,HR,MIN,DM
2006,1,19,10,0,6523.3
2006,1,19,11,0,6622.9
2006,1,19,12,0,6669.3
2006,1,19,13,0,6631.9
2006,1,19,14,0,6602.4
2006,1,19,15,0,6553.6
2006,1,19,16,0,6574.3
2006,1,19,17,0,6694.1
2006,1,19,18,0,6955.7
2006,1,19,19,0,6807
2006,1,19,20,0,6603.7
2006,1,19,21,0,6353.8
2006,1,19,22,0,6075.7
2006,1,19,23,0,5695.6
2006,1,19,24,0,5202.6
2006,1,20,1,0,4768.4
2006,1,20,2,0,4510.8
2006,1,20,3,0,4362.6
2006,1,20,4,0,4306.8
2006,1,20,5,0,4325.5
2006,1,20,6,0,4588.7
2006,1,20,7,0,5196.7
2006,1,20,8,0,5789.2
2006,1,20,9,0,6137.1
2006,1,20,10,0,6334.4
2006,1,20,11,0,6484.3
2006,1,20,12,0,6510
2006,1,20,13,0,6482.7
2006,1,20,14,0,6452.4
2006,1,20,15,0,6409.9
2006,1,20,16,0,6393.7
2006,1,20,17,0,6478.6
2006,1,20,18,0,6718.3
2006,1,20,19,0,6549.4
2006,1,20,20,0,6307
2006,1,20,21,0,6054.7
2006,1,20,22,0,5814.8
2006,1,20,23,0,5501.1
2006,1,20,24,0,5108.8
2006,1,21,1,0,4720.1
2006,1,21,2,0,4488
2006,1,21,3,0,4328.6
2006,1,21,4,0,4232
2006,1,21,5,0,4195.8
2006,1,21,6,0,4260.1
2006,1,21,7,0,4453.3
2006,1,21,8,0,4644.9
2006,1,21,9,0,4949
2006,1,21,10,0,5220.9
2006,1,21,11,0,5482.2
2006,1,21,12,0,5580
2006,1,21,13,0,5580.7
2006,1,21,14,0,5531.7
2006,1,21,15,0,5475
2006,1,21,16,0,5481.7
2006,1,21,17,0,5546.3
2006,1,21,18,0,5843.4
2006,1,21,19,0,5931.6
2006,1,21,20,0,5847.4
2006,1,21,21,0,5698.8
2006,1,21,22,0,5539.1
2006,1,21,23,0,5347.7
2006,1,21,24,0,5068.8
2006,1,22,1,0,4764.7
2006,1,22,2,0,4535.2
2006,1,22,3,0,4369.3
2006,1,22,4,0,4273.3
2006,1,22,5,0,4244
2006,1,22,6,0,4281.6
2006,1,22,7,0,4395.8
2006,1,22,8,0,4492.4
2006,1,22,9,0,4706.5
2006,1,22,10,0,4970.6
2006,1,22,11,0,5207.6
2006,1,22,12,0,5332.5
2006,1,22,13,0,5404.4
2006,1,22,14,0,5408.3
2006,1,22,15,0,5389.2
2006,1,22,16,0,5383
2006,1,22,17,0,5507
2006,1,22,18,0,5896.5
2006,1,22,19,0,5970.6
2006,1,22,20,0,5911.2
2006,1,22,21,0,5810.5
2006,1,22,22,0,5649.1
2006,1,22,23,0,5390.4
2006,1,22,24,0,4982.9
2006,1,23,1,0,4642.6
2006,1,23,2,0,4437.4
2006,1,23,3,0,4321.1
2006,1,23,4,0,4278.8
2006,1,23,5,0,4324.9
2006,1,23,6,0,4607.1
2006,1,23,7,0,5200.4
2006,1,23,8,0,5888.5
2006,1,23,9,0,6273.8
2006,1,23,10,0,6574.8
2006,1,23,11,0,6735.1
2006,1,23,12,0,6782.7
2006,1,23,13,0,6795.4
2006,1,23,14,0,6784
2006,1,23,15,0,6762.1
2006,1,23,16,0,6763.5
2006,1,23,17,0,6874.1
2006,1,23,18,0,7044.8
2006,1,23,19,0,6852.3
2006,1,23,20,0,6631.2
2006,1,23,21,0,6380.4
2006,1,23,22,0,6095.9
2006,1,23,23,0,5698.5
2006,1,23,24,0,5215.9
2006,1,24,1,0,4779.9
2006,1,24,2,0,4529.1
2006,1,24,3,0,4419.5
2006,1,24,4,0,4383.8
2006,1,24,5,0,4401.4
2006,1,24,6,0,4596.2
2006,1,24,7,0,5214.1
2006,1,24,8,0,5646.7
2006,1,24,9,0,5914.8
2006,1,24,10,0,6447.9
2006,1,24,11,0,6547.6
2006,1,24,12,0,6581.3
2006,1,24,13,0,6567.2
2006,1,24,14,0,6551.9
2006,1,24,15,0,6518.7
2006,1,24,16,0,6514.4
2006,1,24,17,0,6604.2
2006,1,24,18,0,6867.3
2006,1,24,19,0,6769.8
2006,1,24,20,0,6566.4
2006,1,24,21,0,6338.4
2006,1,24,22,0,6039.6
2006,1,24,23,0,5667
2006,1,24,24,0,5178.6
2006,1,25,1,0,4753.3
2006,1,25,2,0,4503.3
2006,1,25,3,0,4355.8
2006,1,25,4,0,4302.2
2006,1,25,5,0,4325.7
2006,1,25,6,0,4599.1
2006,1,25,7,0,5186.3
2006,1,25,8,0,5796.1
2006,1,25,9,0,6167.6
2006,1,25,10,0,6446.2
2006,1,25,11,0,6532.5
2006,1,25,12,0,6604.3
2006,1,25,13,0,6678.2
2006,1,25,14,0,6701.9
2006,1,25,15,0,6642.6
2006,1,25,16,0,6643.1
2006,1,25,17,0,6776.3
2006,1,25,18,0,7020.2
2006,1,25,19,0,6860.6
2006,1,25,20,0,6654.3
2006,1,25,21,0,6424.8
2006,1,25,22,0,6152
2006,1,25,23,0,5777.3
2006,1,25,24,0,5297.8
2006,1,26,1,0,4875.4
2006,1,26,2,0,4627.7
2006,1,26,3,0,4486.5
2006,1,26,4,0,4434.6
2006,1,26,5,0,4460.7
2006,1,26,6,0,4733.2
2006,1,26,7,0,5330.9
2006,1,26,8,0,5959.4
2006,1,26,9,0,6326.4
2006,1,26,10,0,6622.5
2006,1,26,11,0,6728.1
2006,1,26,12,0,6764
2006,1,26,13,0,6766.2
2006,1,26,14,0,6758.2
2006,1,26,15,0,6723.9
2006,1,26,16,0,6729.5
2006,1,26,17,0,6828.9
2006,1,26,18,0,7070.1
2006,1,26,19,0,7001.2
2006,1,26,20,0,6803.1
2006,1,26,21,0,6581.1
2006,1,26,22,0,6308.4
2006,1,26,23,0,5955.6
2006,1,26,24,0,5484.8
2006,1,27,1,0,5064.7
2006,1,27,2,0,4812.9
2006,1,27,3,0,4660.6
2006,1,27,4,0,4605.4
2006,1,27,5,0,4626.8
2006,1,27,6,0,4868.3
2006,1,27,7,0,5452.9
2006,1,27,8,0,6057.1
2006,1,27,9,0,6412.1
2006,1,27,10,0,6683.4
2006,1,27,11,0,6789.4
2006,1,27,12,0,6810.6
2006,1,27,13,0,6770.7
2006,1,27,14,0,6723.7
2006,1,27,15,0,6663.8
2006,1,27,16,0,6632.1
2006,1,27,17,0,6698.3
2006,1,27,18,0,6895.5
2006,1,27,19,0,6781.2
2006,1,27,20,0,6538.9
2006,1,27,21,0,6275.6
2006,1,27,22,0,6024.8
2006,1,27,23,0,5695.1
2006,1,27,24,0,5327.1
2006,1,28,1,0,4932.5
2006,1,28,2,0,4677.4
2006,1,28,3,0,4495.7
2006,1,28,4,0,4405.8
2006,1,28,5,0,4374.2
2006,1,28,6,0,4439.7
2006,1,28,7,0,4613
2006,1,28,8,0,4802.4
2006,1,28,9,0,5127.1
2006,1,28,10,0,5395.9
2006,1,28,11,0,5585.6
2006,1,28,12,0,5642.9
2006,1,28,13,0,5638.2
2006,1,28,14,0,5582.2
2006,1,28,15,0,5501.9
2006,1,28,16,0,5456.2
2006,1,28,17,0,5495.4
2006,1,28,18,0,5778.8
2006,1,28,19,0,5904.8
2006,1,28,20,0,5796.7
2006,1,28,21,0,5658.6
2006,1,28,22,0,5510.1
2006,1,28,23,0,5317.2
2006,1,28,24,0,5050.4
2006,1,29,1,0,4735.7
2006,1,29,2,0,4485.9
2006,1,29,3,0,4320.1
2006,1,29,4,0,4220.9
2006,1,29,5,0,4181.8
2006,1,29,6,0,4223.4
2006,1,29,7,0,4334.3
2006,1,29,8,0,4421.7
2006,1,29,9,0,4675.1
2006,1,29,10,0,4965.9
2006,1,29,11,0,5180.9
2006,1,29,12,0,5336
2006,1,29,13,0,5440.4
2006,1,29,14,0,5485.3
2006,1,29,15,0,5529.7
2006,1,29,16,0,5572.8
2006,1,29,17,0,5683.2
2006,1,29,18,0,5907.3
2006,1,29,19,0,5932.5
2006,1,29,20,0,5851.7
2006,1,29,21,0,5734.6
2006,1,29,22,0,5553.8
2006,1,29,23,0,5302.1
2006,1,29,24,0,4937.5
2006,1,30,1,0,4583.6
2006,1,30,2,0,4357.8
2006,1,30,3,0,4214.7
2006,1,30,4,0,4166.4
2006,1,30,5,0,4197.6
2006,1,30,6,0,4486
2006,1,30,7,0,5076.4
2006,1,30,8,0,5667.2
2006,1,30,9,0,6036.4
2006,1,30,10,0,6313.2
2006,1,30,11,0,6413.5
2006,1,30,12,0,6441
2006,1,30,13,0,6441
2006,1,30,14,0,6438
2006,1,30,15,0,6411.4
2006,1,30,16,0,6418.5
2006,1,30,17,0,6544.9
2006,1,30,18,0,6814.2
2006,1,30,19,0,6673
2006,1,30,20,0,6487.3
2006,1,30,21,0,6234.7
2006,1,30,22,0,5952
2006,1,30,23,0,5562.8
2006,1,30,24,0,5086.4
2006,1,31,1,0,4651.3
2006,1,31,2,0,4403.6
2006,1,31,3,0,4263.6
2006,1,31,4,0,4213.1
2006,1,31,5,0,4236.5
2006,1,31,6,0,4523.7
2006,1,31,7,0,5150
2006,1,31,8,0,5841.2
2006,1,31,9,0,6245.8
2006,1,31,10,0,6542.6
2006,1,31,11,0,6659
2006,1,31,12,0,6723.2
2006,1,31,13,0,6733.6
2006,1,31,14,0,6768.1
2006,1,31,15,0,6747.3
2006,1,31,16,0,6779.1
2006,1,31,17,0,6879.3
2006,1,31,18,0,7015.7
2006,1,31,19,0,6834.7
2006,1,31,20,0,6623.7
2006,1,31,21,0,6355
2006,1,31,22,0,6075.1
2006,1,31,23,0,5712.3
2006,1,31,24,0,5215.1
2006,2,1,1,0,4776
2006,2,1,2,0,4520.7
2006,2,1,3,0,4385.4
2006,2,1,4,0,4332.7
2006,2,1,5,0,4355.6
2006,2,1,6,0,4623.8
2006,2,1,7,0,5230.7
2006,2,1,8,0,5856.7
2006,2,1,9,0,6218.5
2006,2,1,10,0,6456.8
2006,2,1,11,0,6544.7
2006,2,1,12,0,6581.2
2006,2,1,13,0,6575.1
2006,2,1,14,0,6574.9
2006,2,1,15,0,6566.7
2006,2,1,16,0,6578
2006,2,1,17,0,6690.4
2006,2,1,18,0,6919.4
2006,2,1,19,0,6801
2006,2,1,20,0,6605.2
2006,2,1,21,0,6359.7
2006,2,1,22,0,6075.5
2006,2,1,23,0,5695.7
2006,2,1,24,0,5210.4
2006,2,2,1,0,4764.3
2006,2,2,2,0,4521.8
2006,2,2,3,0,4384.7
2006,2,2,4,0,4322.4
2006,2,2,5,0,4330.3
2006,2,2,6,0,4594.4
2006,2,2,7,0,5199
2006,2,2,8,0,5783.8
2006,2,2,9,0,6152
2006,2,2,10,0,6427.9
2006,2,2,11,0,6498.1
2006,2,2,12,0,6499.2
2006,2,2,13,0,6470.6
2006,2,2,14,0,6460.5
2006,2,2,15,0,6434
2006,2,2,16,0,6440.3
2006,2,2,17,0,6536.1
2006,2,2,18,0,6780.5
2006,2,2,19,0,6703.6
2006,2,2,20,0,6516.2
2006,2,2,21,0,6266.8
2006,2,2,22,0,5999.4
2006,2,2,23,0,5610.8
2006,2,2,24,0,5128.6
2006,2,3,1,0,4694.7
2006,2,3,2,0,4428.1
2006,2,3,3,0,4285.2
2006,2,3,4,0,4227.8
2006,2,3,5,0,4231
2006,2,3,6,0,4495.9
2006,2,3,7,0,5109.5
2006,2,3,8,0,5792
2006,2,3,9,0,6186.3
2006,2,3,10,0,6479.1
2006,2,3,11,0,6627.6
2006,2,3,12,0,6660.3
2006,2,3,13,0,6595.6
2006,2,3,14,0,6542.6
2006,2,3,15,0,6478
2006,2,3,16,0,6429.7
2006,2,3,17,0,6458.9
2006,2,3,18,0,6601.9
2006,2,3,19,0,6531
2006,2,3,20,0,6298.8
2006,2,3,21,0,6047.6
2006,2,3,22,0,5784.8
2006,2,3,23,0,5465
2006,2,3,24,0,5095.9
2006,2,4,1,0,4714.5
2006,2,4,2,0,4441.4
2006,2,4,3,0,4281.7
2006,2,4,4,0,4190.8
2006,2,4,5,0,4161.7
2006,2,4,6,0,4231.4
2006,2,4,7,0,4425.5
2006,2,4,8,0,4603.2
2006,2,4,9,0,4927.7
2006,2,4,10,0,5222.5
2006,2,4,11,0,5469.7
2006,2,4,12,0,5585.3
2006,2,4,13,0,5667.4
2006,2,4,14,0,5629.9
2006,2,4,15,0,5641
2006,2,4,16,0,5688.6
2006,2,4,17,0,5780
2006,2,4,18,0,5961.7
2006,2,4,19,0,5975.6
2006,2,4,20,0,5894.6
2006,2,4,21,0,5734.9
2006,2,4,22,0,5540.5
2006,2,4,23,0,5320.1
2006,2,4,24,0,5026.3
2006,2,5,1,0,4711.2
2006,2,5,2,0,4438.3
2006,2,5,3,0,4260.8
2006,2,5,4,0,4160.7
2006,2,5,5,0,4122
2006,2,5,6,0,4165.6
2006,2,5,7,0,4269.6
2006,2,5,8,0,4366
2006,2,5,9,0,4596.8
2006,2,5,10,0,4863
2006,2,5,11,0,5084.8
2006,2,5,12,0,5245.9
2006,2,5,13,0,5317.8
2006,2,5,14,0,5341.6
2006,2,5,15,0,5338.6
2006,2,5,16,0,5415.3
2006,2,5,17,0,5534.5
2006,2,5,18,0,5788.2
2006,2,5,19,0,5881.6
2006,2,5,20,0,5803.5
2006,2,5,21,0,5683.5
2006,2,5,22,0,5532.8
2006,2,5,23,0,5313.6
2006,2,5,24,0,4977.5
2006,2,6,1,0,4636.4
2006,2,6,2,0,4415.4
2006,2,6,3,0,4289.2
2006,2,6,4,0,4242.5
2006,2,6,5,0,4285
2006,2,6,6,0,4580.8
2006,2,6,7,0,5181.3
2006,2,6,8,0,5799.7
2006,2,6,9,0,6170.8
2006,2,6,10,0,6455.6
2006,2,6,11,0,6589
2006,2,6,12,0,6632.9
2006,2,6,13,0,6633.4
2006,2,6,14,0,6613.9
2006,2,6,15,0,6605.1
2006,2,6,16,0,6608.4
2006,2,6,17,0,6691.6
2006,2,6,18,0,6898.4
