Payroll,Revenue,
44699413,2782413,"{Payroll:44699413,Revenue:2782413},"
11696957,2760942,"{Payroll:11696957,Revenue:2760942},"
11696957,2760942,"{Payroll:11696957,Revenue:2760942},"
13948896,2759583,"{Payroll:13948896,Revenue:2759583},"
19819831,2759081,"{Payroll:19819831,Revenue:2759081},"
27683910,2742044,"{Payroll:27683910,Revenue:2742044},"
9881129,2733758,"{Payroll:9881129,Revenue:2733758},"
35381025,2728745,"{Payroll:35381025,Revenue:2728745},"
16329105,2716100,"{Payroll:16329105,Revenue:2716100},"
32308131,2708151,"{Payroll:32308131,Revenue:2708151},"
18962496,2702785,"{Payroll:18962496,Revenue:2702785},"
20863537,2688868,"{Payroll:20863537,Revenue:2688868},"
13643568,2680560,"{Payroll:13643568,Revenue:2680560},"
15219333,2668870,"{Payroll:15219333,Revenue:2668870},"
22562313,2664430,"{Payroll:22562313,Revenue:2664430},"
6008182,2657986,"{Payroll:6008182,Revenue:2657986},"
40471492,2644942,"{Payroll:40471492,Revenue:2644942},"
8511404,2623463,"{Payroll:8511404,Revenue:2623463},"
8511404,2623463,"{Payroll:8511404,Revenue:2623463},"
7056657,2620145,"{Payroll:7056657,Revenue:2620145},"
7056657,2620145,"{Payroll:7056657,Revenue:2620145},"
7056657,2620145,"{Payroll:7056657,Revenue:2620145},"
7056657,2620145,"{Payroll:7056657,Revenue:2620145},"
18808224,2613554,"{Payroll:18808224,Revenue:2613554},"
40551393,2609521,"{Payroll:40551393,Revenue:2609521},"
24553072,2603899,"{Payroll:24553072,Revenue:2603899},"
149163946,2583180,"{Payroll:149163946,Revenue:2583180},"
28062324,2577426,"{Payroll:28062324,Revenue:2577426},"
8501497,2551759,"{Payroll:8501497,Revenue:2551759},"
8501497,2551759,"{Payroll:8501497,Revenue:2551759},"
9536706,2535950,"{Payroll:9536706,Revenue:2535950},"
34127729,2521398,"{Payroll:34127729,Revenue:2521398},"
38625440,2521333,"{Payroll:38625440,Revenue:2521333},"
25810445,2503945,"{Payroll:25810445,Revenue:2503945},"
17732686,2502284,"{Payroll:17732686,Revenue:2502284},"
28714454,2502008,"{Payroll:28714454,Revenue:2502008},"
15050057,2497881,"{Payroll:15050057,Revenue:2497881},"
38827947,2489605,"{Payroll:38827947,Revenue:2489605},"
101331213,2488209,"{Payroll:101331213,Revenue:2488209},"
28279942,2488095,"{Payroll:28279942,Revenue:2488095},"
15595986,2478216,"{Payroll:15595986,Revenue:2478216},"
12253690,2462542,"{Payroll:12253690,Revenue:2462542},"
12426370,2461931,"{Payroll:12426370,Revenue:2461931},"
12426370,2461931,"{Payroll:12426370,Revenue:2461931},"
10516385,2447614,"{Payroll:10516385,Revenue:2447614},"
20201432,2445472,"{Payroll:20201432,Revenue:2445472},"
17400290,2445020,"{Payroll:17400290,Revenue:2445020},"
30779326,2437131,"{Payroll:30779326,Revenue:2437131},"
28263384,2430801,"{Payroll:28263384,Revenue:2430801},"
19777094,2428619,"{Payroll:19777094,Revenue:2428619},"
11084718,2424484,"{Payroll:11084718,Revenue:2424484},"
16044543,2424327,"{Payroll:16044543,Revenue:2424327},"
10021848,2366119,"{Payroll:10021848,Revenue:2366119},"
7704199,2355701,"{Payroll:7704199,Revenue:2355701},"
23821197,2351905,"{Payroll:23821197,Revenue:2351905},"
51152776,2344487,"{Payroll:51152776,Revenue:2344487},"
32100519,2328778,"{Payroll:32100519,Revenue:2328778},"
21729378,2323855,"{Payroll:21729378,Revenue:2323855},"
14297686,2305779,"{Payroll:14297686,Revenue:2305779},"
22791378,2302852,"{Payroll:22791378,Revenue:2302852},"
11394556,2302165,"{Payroll:11394556,Revenue:2302165},"
11394556,2302165,"{Payroll:11394556,Revenue:2302165},"
11394556,2302165,"{Payroll:11394556,Revenue:2302165},"
257956484,2295654,"{Payroll:257956484,Revenue:2295654},"
257956484,2295654,"{Payroll:257956484,Revenue:2295654},"
29021787,2278288,"{Payroll:29021787,Revenue:2278288},"
11034355,2242816,"{Payroll:11034355,Revenue:2242816},"
20109950,2241512,"{Payroll:20109950,Revenue:2241512},"
24772513,2215801,"{Payroll:24772513,Revenue:2215801},"
10856601,2213521,"{Payroll:10856601,Revenue:2213521},"
25113555,2199408,"{Payroll:25113555,Revenue:2199408},"
30612030,2177853,"{Payroll:30612030,Revenue:2177853},"
7319928,2169882,"{Payroll:7319928,Revenue:2169882},"
29400346,2166450,"{Payroll:29400346,Revenue:2166450},"
29400346,2166450,"{Payroll:29400346,Revenue:2166450},"
29400346,2166450,"{Payroll:29400346,Revenue:2166450},"
29400346,2166450,"{Payroll:29400346,Revenue:2166450},"
18924660,2135148,"{Payroll:18924660,Revenue:2135148},"
4657379,2110842,"{Payroll:4657379,Revenue:2110842},"
34481558,2104557,"{Payroll:34481558,Revenue:2104557},"
34481558,2104557,"{Payroll:34481558,Revenue:2104557},"
8518960,2100101,"{Payroll:8518960,Revenue:2100101},"
7270366,2077725,"{Payroll:7270366,Revenue:2077725},"
39699449,2076686,"{Payroll:39699449,Revenue:2076686},"
11262158,2076464,"{Payroll:11262158,Revenue:2076464},"
46536929,2065082,"{Payroll:46536929,Revenue:2065082},"
46536929,2065082,"{Payroll:46536929,Revenue:2065082},"
46536929,2065082,"{Payroll:46536929,Revenue:2065082},"
12946930,2055442,"{Payroll:12946930,Revenue:2055442},"
6647011,2055256,"{Payroll:6647011,Revenue:2055256},"
31988191,2032970,"{Payroll:31988191,Revenue:2032970},"
28836880,2020592,"{Payroll:28836880,Revenue:2020592},"
62660775,2018874,"{Payroll:62660775,Revenue:2018874},"
10424305,1999861,"{Payroll:10424305,Revenue:1999861},"
22392200,1984418,"{Payroll:22392200,Revenue:1984418},"
14719141,1979315,"{Payroll:14719141,Revenue:1979315},"
6994621,1976508,"{Payroll:6994621,Revenue:1976508},"
6994621,1976508,"{Payroll:6994621,Revenue:1976508},"
249320072,1970023,"{Payroll:249320072,Revenue:1970023},"
249320072,1970023,"{Payroll:249320072,Revenue:1970023},"
67516896,1958618,"{Payroll:67516896,Revenue:1958618},"
9958828,1953814,"{Payroll:9958828,Revenue:1953814},"
9475323,1952364,"{Payroll:9475323,Revenue:1952364},"
10549716,1940811,"{Payroll:10549716,Revenue:1940811},"
16249526,1937048,"{Payroll:16249526,Revenue:1937048},"
16249526,1937048,"{Payroll:16249526,Revenue:1937048},"
9489897,1931526,"{Payroll:9489897,Revenue:1931526},"
7171093,1931224,"{Payroll:7171093,Revenue:1931224},"
8415864,1928274,"{Payroll:8415864,Revenue:1928274},"
8415864,1928274,"{Payroll:8415864,Revenue:1928274},"
7209227,1923352,"{Payroll:7209227,Revenue:1923352},"
7209227,1923352,"{Payroll:7209227,Revenue:1923352},"
14378475,1922341,"{Payroll:14378475,Revenue:1922341},"
17908555,1920150,"{Payroll:17908555,Revenue:1920150},"
10176889,1911120,"{Payroll:10176889,Revenue:1911120},"
6606194,1906803,"{Payroll:6606194,Revenue:1906803},"
13416541,1900480,"{Payroll:13416541,Revenue:1900480},"
19788902,1898053,"{Payroll:19788902,Revenue:1898053},"
9695455,1895112,"{Payroll:9695455,Revenue:1895112},"
28435826,1890045,"{Payroll:28435826,Revenue:1890045},"
21521714,1884560,"{Payroll:21521714,Revenue:1884560},"
16352747,1882262,"{Payroll:16352747,Revenue:1882262},"
19667061,1873789,"{Payroll:19667061,Revenue:1873789},"
6437932,1865793,"{Payroll:6437932,Revenue:1865793},"
27752364,1853346,"{Payroll:27752364,Revenue:1853346},"
7484422,1848423,"{Payroll:7484422,Revenue:1848423},"
18901745,1835021,"{Payroll:18901745,Revenue:1835021},"
7165919,1831879,"{Payroll:7165919,Revenue:1831879},"
10199467,1825835,"{Payroll:10199467,Revenue:1825835},"
6945450,1816410,"{Payroll:6945450,Revenue:1816410},"
